Especie,Markdown files
Aligustre cultivado,Aligustre
Almendrón,Almendrón
Amapola,Amapola
Apamate,Apamate
Araguaney,Araguaney
Bambú,Bambú
Cañafistola llanero,Cañafistola llanero
Caoba(o),Caoba
Castaño,Castaño
Cedrillo,Cedrillo
Cedro,Cedro
Ceiba,Ceiba
Cepillo rojo,Cepillo rojo
Chaguaramo,Chaguaramo
Clavellina colorada,Clavellina colorada
Cocotero,Cocotero
Cremón,Cremón
Duranta erecta,Duranta
Flor de la Reina,Flor de la Reina
Guarupa,Guarupa
Higuerón,Higuerón
Jabillo,Jabillo
Jacaranda,Jacaranda
Mamón,Mamón
Mango,Mango
Marimari,Marimari
Matapalo,Matapalo
Mijao,Mijao
Nim,Nim
Palma datilera,Palma datilera
Palo María,Palo María
Pilón,Pilón
Pomagás,Pomagás
Roble - Hormiguillo,Roble
Saman,Saman
Semeruco,Semeruco
Totumo,Totumo
Tulipán africano,Tulipán africano
Urape blanco,Urape blanco
Urape morado,Urape morado
Urape rosado,Urape rosado
Uvero de playa,Uvero de playa
Vera,Vera
